Acc,Name,Desc
PF03876.16,SHS2_Rpb7-N,SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397
PF03878.14,YIF1,YIF1
PF03879.13,Cgr1,Cgr1 family
PF03880.14,DbpA,DbpA RNA binding domain
PF03881.13,Fructosamin_kin,Fructosamine kinase
PF03882.13,KicB,MukF winged-helix domain
PF03883.13,H2O2_YaaD,Peroxide stress protein YaaA
PF03884.13,YacG,DNA gyrase inhibitor YacG
PF03885.12,DUF327,Protein of unknown function (DUF327)
PF03886.12,ABC_trans_aux,ABC-type transport auxiliary lipoprotein component
PF03887.13,YfbU,YfbU domain
PF03888.13,MucB_RseB,MucB/RseB N-terminal domain
PF03889.12,DUF331,Domain of unknown function
PF03891.14,DUF333,Domain of unknown function (DUF333)
PF03892.13,NapB,Nitrate reductase cytochrome c-type subunit (NapB)
PF03893.15,Lipase3_N,Lipase 3 N-terminal region
PF03894.14,XFP,D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase
PF03895.14,YadA_anchor,YadA-like membrane anchor domain
PF03896.15,TRAP_alpha,"Translocon-associated protein (TRAP), alpha subunit"
PF03898.12,TNV_CP,Satellite tobacco necrosis virus coat protein
PF03899.14,ATP-synt_I,ATP synthase I chain
PF03900.14,Porphobil_deamC,"Porphobilinogen deaminase, C-terminal domain"
PF03901.16,Glyco_transf_22,Alg9-like mannosyltransferase family
PF03902.12,Gal4_dimer,Gal4-like dimerisation domain
PF03903.12,Phage_T4_gp36,Phage T4 tail fibre
PF03904.12,DUF334,Domain of unknown function (DUF334)
PF03905.12,Corona_NS4,Coronavirus non-structural protein NS4
PF03906.13,Phage_T7_tail,Phage T7 tail fibre protein
PF03907.12,Spo7,Spo7-like protein
PF03908.12,Sec20,Sec20
PF03909.16,BSD,BSD domain
PF03910.12,Adeno_PV,Adenovirus minor core protein PV
PF03911.15,Sec61_beta,Sec61beta family
PF03912.13,Psb28,Psb28 protein
PF03913.12,Amb_V_allergen,Amb V Allergen
PF03914.16,CBF,CBF/Mak21 family
PF03915.12,AIP3,Actin interacting protein 3
PF03916.13,NrfD,"Polysulphide reductase, NrfD"
PF03917.16,GSH_synth_ATP,"Eukaryotic glutathione synthase, ATP binding domain"
PF03918.13,CcmH,Cytochrome C biogenesis protein
PF03919.14,mRNA_cap_C,"mRNA capping enzyme, C-terminal domain"
PF03920.14,TLE_N,Groucho/TLE N-terminal Q-rich domain
PF03921.13,ICAM_N,"Intercellular adhesion molecule (ICAM), N-terminal domain"
PF03922.13,OmpW,OmpW family
PF03923.12,Lipoprotein_16,Uncharacterized lipoprotein
PF03924.12,CHASE,CHASE domain
PF03925.12,SeqA,SeqA protein C-terminal domain
PF03927.12,NapD,NapD protein
PF03928.13,Haem_degrading,Haem-degrading
PF03929.15,PepSY_TM,PepSY-associated TM region
PF03930.13,Flp_N,Recombinase Flp protein N-terminus
PF03931.14,Skp1_POZ,"Skp1 family, tetramerisation domain"
PF03932.13,CutC,CutC family
PF03934.12,T2SSK,"Type II secretion system (T2SS), protein K"
PF03935.14,SKN1,Beta-glucan synthesis-associated protein (SKN1)
PF03936.15,Terpene_synth_C,"Terpene synthase family, metal binding domain"
PF03937.15,Sdh5,Flavinator of succinate dehydrogenase
PF03938.13,OmpH,Outer membrane protein (OmpH-like)
PF03939.12,Ribosomal_L23eN,"Ribosomal protein L23, N-terminal domain"
PF03940.12,MSSP,Male specific sperm protein
PF03941.14,INCENP_ARK-bind,"Inner centromere protein, ARK binding region"
PF03942.14,DTW,DTW domain
PF03943.12,TAP_C,TAP C-terminal domain
PF03944.13,Endotoxin_C,delta endotoxin
PF03945.13,Endotoxin_N,"delta endotoxin, N-terminal domain"
PF03946.13,Ribosomal_L11_N,"Ribosomal protein L11, N-terminal domain"
PF03947.17,Ribosomal_L2_C,"Ribosomal Proteins L2, C-terminal domain"
PF03948.13,Ribosomal_L9_C,"Ribosomal protein L9, C-terminal domain"
PF03949.14,Malic_M,"Malic enzyme, NAD binding domain"
PF03950.17,tRNA-synt_1c_C,"tRNA synthetases class I (E and Q), anti-codon binding domain"
PF03951.18,Gln-synt_N,"Glutamine synthetase, beta-Grasp domain"
PF03952.15,Enolase_N,"Enolase, N-terminal domain"
PF03953.16,Tubulin_C,Tubulin C-terminal domain
PF03954.13,Lectin_N,"Hepatic lectin, N-terminal domain"
PF03955.13,Adeno_PIX,Adenovirus hexon-associated protein (IX)
PF03956.12,Lys_export,Lysine exporter LysO
PF03957.12,Jun,Jun-like transcription factor
PF03958.16,Secretin_N,Bacterial type II/III secretion system short domain
PF03959.12,FSH1,Serine hydrolase (FSH1)
PF03960.14,ArsC,ArsC family
PF03961.12,FapA,Flagellar Assembly Protein A
PF03962.14,Mnd1,Mnd1 family
PF03963.13,FlgD,Flagellar hook capping protein - N-terminal region
PF03964.14,Chorion_2,Chorion family 2
PF03965.15,Penicillinase_R,Penicillinase repressor
PF03966.15,Trm112p,Trm112p-like protein
PF03967.12,PRCH,"Photosynthetic reaction centre, H-chain N-terminal region"
PF03968.13,OstA,OstA-like protein
PF03969.15,AFG1_ATPase,AFG1-like ATPase
PF03970.12,Herpes_UL37_1,Herpesvirus UL37 tegument protein
PF03971.13,IDH,Monomeric isocitrate dehydrogenase
PF03972.13,MmgE_PrpD,MmgE/PrpD family
PF03973.12,Triabin,Triabin
PF03974.12,Ecotin,Ecotin
PF03975.12,CheD,CheD chemotactic sensory transduction
PF03976.13,PPK2,Polyphosphate kinase 2 (PPK2)
PF03977.12,OAD_beta,Na+-transporting oxaloacetate decarboxylase beta subunit
PF03978.12,Borrelia_REV,Borrelia burgdorferi REV protein
PF03979.13,Sigma70_r1_1,"Sigma-70 factor, region 1.1"
PF03980.13,Nnf1,Nnf1
PF03981.11,Ubiq_cyt_C_chap,Ubiquinol-cytochrome C chaperone
PF03982.12,DAGAT,Diacylglycerol acyltransferase
PF03983.11,SHD1,"SLA1 homology domain 1, SHD1"
PF03984.12,DUF346,Repeat of unknown function (DUF346)
PF03985.12,Paf1,Paf1
PF03986.12,Autophagy_N,"Autophagocytosis associated protein (Atg3), N-terminal domain"
PF03987.14,Autophagy_act_C,"Autophagocytosis associated protein, active-site domain"
PF03988.11,DUF347,Repeat of Unknown Function (DUF347)
PF03989.12,DNA_gyraseA_C,"DNA gyrase C-terminal domain, beta-propeller"
PF03990.13,DUF348,Domain of unknown function (DUF348)
PF03991.11,Prion_octapep,Copper binding octapeptide repeat
PF03992.15,ABM,Antibiotic biosynthesis monooxygenase
PF03993.11,DUF349,Domain of Unknown Function (DUF349)
PF03994.13,DUF350,Domain of Unknown Function (DUF350)
PF03995.12,Inhibitor_I36,Peptidase inhibitor family I36
PF03996.14,Hema_esterase,Hemagglutinin esterase
PF03997.11,VPS28,VPS28 protein
PF03998.12,Utp11,Utp11 protein
PF03999.11,MAP65_ASE1,Microtubule associated protein (MAP65/ASE1 family)
PF04000.14,Sas10_Utp3,Sas10/Utp3/C1D family
PF04001.12,Vhr1,Transcription factor Vhr1
PF04002.14,RadC,RadC-like JAB domain
PF04003.11,Utp12,Dip2/Utp12 Family
PF04004.12,Leo1,Leo1-like protein
PF04005.11,Hus1,Hus1-like protein
PF04006.11,Mpp10,Mpp10 protein
PF04007.11,DUF354,Protein of unknown function (DUF354)
PF04008.13,Adenosine_kin,Adenosine specific kinase
PF04009.11,DUF356,Protein of unknown function (DUF356)
PF04010.12,DUF357,Protein of unknown function (DUF357)
PF04011.11,LemA,LemA family
PF04012.11,PspA_IM30,PspA/IM30 family
PF04013.11,Methyltrn_RNA_2,Putative SAM-dependent RNA methyltransferase
PF04014.17,MazE_antitoxin,"Antidote-toxin recognition MazE, bacterial antitoxin"
PF04015.11,DUF362,Domain of unknown function (DUF362)
PF04016.11,DUF364,Putative heavy-metal chelation
PF04017.11,DUF366,Domain of unknown function (DUF366)
PF04018.12,DUF368,Domain of unknown function (DUF368)
PF04019.11,DUF359,Protein of unknown function (DUF359)
PF04020.12,Phage_holin_4_2,"Mycobacterial 4 TMS phage holin, superfamily IV"
PF04021.11,Class_IIIsignal,Class III signal peptide
PF04022.11,Staphylcoagulse,Staphylocoagulase repeat
PF04023.13,FeoA,FeoA domain
PF04024.11,PspC,PspC domain
PF04025.11,DUF370,Domain of unknown function (DUF370)
PF04026.11,SpoVG,SpoVG
PF04027.12,DUF371,Domain of unknown function (DUF371)
PF04028.12,DUF374,Domain of unknown function (DUF374)
PF04029.13,2-ph_phosp,2-phosphosulpholactate phosphatase
PF04030.13,ALO,"D-arabinono-1,4-lactone oxidase"
PF04031.12,Las1,Las1-like
PF04032.15,Rpr2,RNAse P Rpr2/Rpp21/SNM1 subunit domain
PF04033.11,DUF365,Domain of unknown function (DUF365)
PF04034.12,Ribo_biogen_C,"Ribosome biogenesis protein, C-terminal"
PF04037.12,DUF382,Domain of unknown function (DUF382)
PF04038.11,DHNA,Dihydroneopterin aldolase
PF04039.12,MnhB,Domain related to MnhB subunit of Na+/H+ antiporter
PF04041.12,Glyco_hydro_130,"beta-1,4-mannooligosaccharide phosphorylase"
PF04042.15,DNA_pol_E_B,DNA polymerase alpha/epsilon subunit B
PF04043.14,PMEI,Plant invertase/pectin methylesterase inhibitor
PF04045.13,P34-Arc,"Arp2/3 complex, 34 kD subunit p34-Arc"
PF04046.15,PSP,PSP
PF04048.13,Sec8_exocyst,Sec8 exocyst complex component specific domain
PF04049.12,ANAPC8,Anaphase promoting complex subunit 8 / Cdc23
PF04050.13,Upf2,Up-frameshift suppressor 2
PF04051.15,TRAPP,Transport protein particle (TRAPP) component
PF04052.12,TolB_N,TolB amino-terminal domain
PF04053.13,Coatomer_WDAD,Coatomer WD associated region
PF04054.14,Not1,"CCR4-Not complex component, Not1"
PF04055.20,Radical_SAM,Radical SAM superfamily
PF04056.13,Ssl1,Ssl1-like
PF04057.11,Rep-A_N,"Replication factor-A protein 1, N-terminal domain"
PF04059.11,RRM_2,RNA recognition motif 2
PF04060.12,FeS,Putative Fe-S cluster
PF04061.13,ORMDL,ORMDL family
PF04062.13,P21-Arc,ARP2/3 complex ARPC3 (21 kDa) subunit
PF04063.13,DUF383,Domain of unknown function (DUF383)
PF04064.12,DUF384,Domain of unknown function (DUF384)
PF04065.14,Not3,"Not1 N-terminal domain, CCR4-Not complex component"
PF04066.12,MrpF_PhaF,Multiple resistance and pH regulation protein F (MrpF / PhaF)
PF04068.14,RLI,"Possible Fer4-like domain in RNase L inhibitor, RLI"
PF04069.11,OpuAC,Substrate binding domain of ABC-type glycine betaine transport system
PF04070.11,DUF378,Domain of unknown function (DUF378)
PF04071.11,zf-like,Cysteine-rich small domain
PF04072.13,LCM,Leucine carboxyl methyltransferase
PF04073.14,tRNA_edit,Aminoacyl-tRNA editing domain
PF04074.11,DUF386,Domain of unknown function (DUF386)
PF04075.13,F420H2_quin_red,F420H(2)-dependent quinone reductase
PF04076.12,BOF,Bacterial OB fold (BOF) protein
PF04077.11,DsrH,DsrH like protein
PF04078.12,Rcd1,"Cell differentiation family, Rcd1-like"
PF04079.15,SMC_ScpB,Segregation and condensation complex subunit ScpB
PF04080.12,Per1,Per1-like family
PF04081.12,DNA_pol_delta_4,"DNA polymerase delta, subunit 4"
PF04082.17,Fungal_trans,Fungal specific transcription factor domain
PF04083.15,Abhydro_lipase,Partial alpha/beta-hydrolase lipase region
PF04084.13,ORC2,Origin recognition complex subunit 2
PF04085.13,MreC,rod shape-determining protein MreC
PF04086.12,SRP-alpha_N,"Signal recognition particle, alpha subunit, N-terminal"
PF04087.13,DUF389,Domain of unknown function (DUF389)
PF04088.12,Peroxin-13_N,"Peroxin 13, N-terminal region"
PF04089.13,BRICHOS,BRICHOS domain
PF04090.11,RNA_pol_I_TF,RNA polymerase I specific initiation factor
PF04091.11,Sec15,Exocyst complex subunit Sec15-like
PF04092.12,SAG,SRS domain
PF04093.11,MreD,rod shape-determining protein MreD
PF04094.13,DUF390,Protein of unknown function (DUF390)
PF04095.15,NAPRTase,Nicotinate phosphoribosyltransferase (NAPRTase) family
PF04096.13,Nucleoporin2,Nucleoporin autopeptidase
PF04097.13,Nic96,Nup93/Nic96
PF04098.14,Rad52_Rad22,Rad52/22 family double-strand break repair protein
PF04099.11,Sybindin,Sybindin-like family
PF04100.11,Vps53_N,"Vps53-like, N-terminal"
PF04101.15,Glyco_tran_28_C,Glycosyltransferase family 28 C-terminal domain
PF04102.11,SlyX,SlyX
PF04103.14,CD20,CD20-like family
PF04104.13,DNA_primase_lrg,"Eukaryotic and archaeal DNA primase, large subunit"
PF04106.11,APG5,Autophagy protein Apg5
PF04107.12,GCS2,Glutamate-cysteine ligase family 2(GCS2)
PF04108.11,APG17,Autophagy protein Apg17
PF04109.15,APG9,Autophagy protein Apg9
PF04110.12,APG12,Ubiquitin-like autophagy protein Apg12
PF04111.11,APG6,Autophagy protein Apg6
PF04112.12,Mak10,"Mak10 subunit, NatC N(alpha)-terminal acetyltransferase"
PF04113.13,Gpi16,"Gpi16 subunit, GPI transamidase component"
PF04114.13,Gaa1,"Gaa1-like, GPI transamidase component"
PF04115.11,Ureidogly_lyase,Ureidoglycolate lyase
PF04116.12,FA_hydroxylase,Fatty acid hydroxylase superfamily
PF04117.11,Mpv17_PMP22,Mpv17 / PMP22 family
PF04118.13,Dopey_N,"Dopey, N-terminal"
PF04119.11,HSP9_HSP12,Heat shock protein 9/12
PF04120.11,Iron_permease,Low affinity iron permease
PF04121.12,Nup84_Nup100,Nuclear pore protein 84 / 107
PF04122.11,CW_binding_2,Putative cell wall binding repeat 2
PF04123.12,DUF373,Domain of unknown function (DUF373)
PF04124.11,Dor1,Dor1-like family
PF04126.12,Cyclophil_like,Cyclophilin-like
PF04127.14,DFP,DNA / pantothenate metabolism flavoprotein
PF04129.11,Vps52,Vps52 / Sac2 family
PF04130.12,Spc97_Spc98,Spc97 / Spc98 family
PF04131.13,NanE,Putative N-acetylmannosamine-6-phosphate epimerase
PF04133.13,Vps55,Vacuolar protein sorting 55
PF04134.11,DUF393,"Protein of unknown function, DUF393"
PF04135.11,Nop10p,"Nucleolar RNA-binding protein, Nop10p family"
PF04136.14,Sec34,Sec34-like family
PF04137.14,ERO1,Endoplasmic Reticulum Oxidoreductin 1 (ERO1)
PF04138.13,GtrA,GtrA-like protein
PF04139.12,Rad9,Rad9
PF04140.13,ICMT,Isoprenylcysteine carboxyl methyltransferase (ICMT) family
PF04142.14,Nuc_sug_transp,Nucleotide-sugar transporter
PF04143.13,Sulf_transp,Sulphur transport
PF04144.12,SCAMP,SCAMP family
PF04145.14,Ctr,Ctr copper transporter family
PF04146.14,YTH,YT521-B-like domain
PF04147.11,Nop14,Nop14-like family
PF04148.12,Erv26,Transmembrane adaptor Erv26
PF04149.11,DUF397,Domain of unknown function (DUF397)
PF04151.14,PPC,Bacterial pre-peptidase C-terminal domain
PF04152.13,Mre11_DNA_bind,Mre11 DNA-binding presumed domain
PF04153.17,NOT2_3_5,NOT2 / NOT3 / NOT5 family
PF04155.17,Ground-like,Ground-like domain
PF04156.13,IncA,IncA protein
PF04157.15,EAP30,EAP30/Vps36 family
PF04158.13,Sof1,Sof1-like domain
PF04159.12,NB,NB glycoprotein
PF04160.11,Borrelia_orfX,Orf-X protein
PF04161.12,Arv1,Arv1-like family
PF04162.11,Gyro_capsid,Gyrovirus capsid protein (VP1)
PF04163.11,Tht1,Tht1-like nuclear fusion protein
PF04165.11,DUF401,Protein of unknown function (DUF401)
PF04166.11,PdxA,Pyridoxal phosphate biosynthetic protein PdxA
PF04167.12,DUF402,Protein of unknown function (DUF402)
PF04168.11,Alpha-E,A predicted alpha-helical domain with a conserved ER motif.
PF04170.11,NlpE,NlpE N-terminal domain
PF04172.15,LrgB,LrgB-like family
PF04173.12,DoxD,TQO small subunit DoxD
PF04174.12,CP_ATPgrasp_1,A circularly permuted ATPgrasp
PF04175.11,DUF406,Protein of unknown function (DUF406)
PF04176.12,TIP41,TIP41-like family
PF04177.11,TAP42,TAP42-like family
PF04178.11,Got1,Got1/Sft2-like family
PF04179.11,Init_tRNA_PT,Rit1 DUSP-like domain
PF04180.13,LTV,Low temperature viability protein
PF04181.12,RPAP2_Rtr1,Rtr1/RPAP2 family
PF04182.11,B-block_TFIIIC,B-block binding subunit of TFIIIC
PF04183.11,IucA_IucC,IucA / IucC family
PF04184.11,ST7,ST7 protein
PF04185.13,Phosphoesterase,Phosphoesterase family
PF04186.12,FxsA,FxsA cytoplasmic membrane protein
PF04187.12,Cofac_haem_bdg,"Haem-binding uptake, Tiki superfamily, ChaN"
PF04188.12,Mannosyl_trans2,Mannosyltransferase (PIG-V)
PF04189.12,Gcd10p,Gcd10p family
PF04190.12,DUF410,Protein of unknown function (DUF410)
PF04191.12,PEMT,Phospholipid methyltransferase
PF04192.11,Utp21,Utp21 specific WD40 associated putative domain
PF04193.13,PQ-loop,PQ loop repeat
PF04194.12,PDCD2_C,"Programmed cell death protein 2, C-terminal putative domain"
PF04195.11,Transposase_28,Putative gypsy type transposon
PF04196.11,Bunya_RdRp,Bunyavirus RNA dependent RNA polymerase
PF04197.11,Birna_RdRp,Birnavirus RNA dependent RNA polymerase (VP1)
PF04198.12,Sugar-bind,Putative sugar-binding domain
PF04199.12,Cyclase,Putative cyclase
PF04200.11,Lipoprotein_17,Lipoprotein associated domain
PF04201.14,TPD52,Tumour protein D52 family
PF04202.12,Mfp-3,Foot protein 3
PF04203.12,Sortase,Sortase family
PF04204.15,HTS,Homoserine O-succinyltransferase
PF04205.13,FMN_bind,FMN-binding domain
PF04206.11,MtrE,"Tetrahydromethanopterin S-methyltransferase, subunit E"
PF04207.11,MtrD,"Tetrahydromethanopterin S-methyltransferase, subunit D"
PF04208.13,MtrA,"Tetrahydromethanopterin S-methyltransferase, subunit A"
PF04209.12,HgmA,"homogentisate 1,2-dioxygenase"
PF04210.12,MtrG,"Tetrahydromethanopterin S-methyltransferase, subunit G"
PF04211.12,MtrC,"Tetrahydromethanopterin S-methyltransferase, subunit C"
PF04212.17,MIT,MIT (microtubule interacting and transport) domain
PF04213.12,HtaA,Htaa
PF04214.12,DUF411,"Protein of unknown function, DUF"
PF04216.11,FdhE,Protein involved in formate dehydrogenase formation
PF04217.12,DUF412,"Protein of unknown function, DUF412"
PF04218.12,CENP-B_N,CENP-B N-terminal DNA-binding domain
PF04219.11,DUF413,"Protein of unknown function, DUF"
PF04220.11,YihI,Der GTPase activator (YihI)
PF04221.11,RelB,RelB antitoxin
PF04222.11,DUF416,Protein of unknown function (DUF416)
PF04223.11,CitF,"Citrate lyase, alpha subunit (CitF)"
PF04224.11,DUF417,"Protein of unknown function, DUF417"
PF04225.11,OapA,Opacity-associated protein A LysM-like domain
PF04226.12,Transgly_assoc,Transglycosylase associated protein
PF04227.11,Indigoidine_A,Indigoidine synthase A like protein
PF04228.12,Zn_peptidase,Putative neutral zinc metallopeptidase
PF04229.13,GrpB,GrpB protein
PF04230.12,PS_pyruv_trans,Polysaccharide pyruvyl transferase
PF04231.12,Endonuclease_1,Endonuclease I
PF04232.11,SpoVS,Stage V sporulation protein S (SpoVS)
PF04233.13,Phage_Mu_F,Phage Mu protein F like protein
PF04234.11,CopC,CopC domain
PF04235.11,DUF418,Protein of unknown function (DUF418)
PF04236.14,Transp_Tc5_C,Tc5 transposase C-terminal domain
PF04237.12,YjbR,YjbR
PF04238.11,DUF420,Protein of unknown function (DUF420)
PF04239.11,DUF421,Protein of unknown function (DUF421)
PF04240.11,Caroten_synth,Carotenoid biosynthesis protein
PF04241.14,DUF423,Protein of unknown function (DUF423)
PF04242.12,DUF424,Protein of unknown function (DUF424)
PF04244.12,DPRP,Deoxyribodipyrimidine photo-lyase-related protein
PF04245.12,NA37,37-kD nucleoid-associated bacterial protein
PF04246.11,RseC_MucC,"Positive regulator of sigma(E), RseC/MucC"
PF04247.11,SirB,"Invasion gene expression up-regulator, SirB"
PF04248.11,NTP_transf_9,Domain of unknown function (DUF427)
PF04250.12,DUF429,Protein of unknown function (DUF429)
PF04252.12,RNA_Me_trans,Predicted SAM-dependent RNA methyltransferase
PF04253.14,TFR_dimer,Transferrin receptor-like dimerisation domain
PF04254.12,DUF432,Protein of unknown function (DUF432)
PF04255.13,DUF433,Protein of unknown function (DUF433)
PF04256.11,DUF434,Protein of unknown function (DUF434)
PF04257.13,Exonuc_V_gamma,"Exodeoxyribonuclease V, gamma subunit"
PF04258.12,Peptidase_A22B,Signal peptide peptidase
PF04259.13,SASP_gamma,"Small, acid-soluble spore protein, gamma-type"
PF04260.11,DUF436,Protein of unknown function (DUF436)
PF04261.11,Dyp_perox,Dyp-type peroxidase family
PF04262.13,Glu_cys_ligase,Glutamate-cysteine ligase
PF04263.15,TPK_catalytic,"Thiamin pyrophosphokinase, catalytic domain"
PF04264.12,YceI,YceI-like domain
PF04265.13,TPK_B1_binding,"Thiamin pyrophosphokinase, vitamin B1 binding domain"
PF04266.13,ASCH,ASCH domain
PF04267.11,SoxD,"Sarcosine oxidase, delta subunit family"
PF04268.11,SoxG,"Sarcosine oxidase, gamma subunit family"
PF04269.11,DUF440,"Protein of unknown function, DUF440"
PF04270.12,Strep_his_triad,Streptococcal histidine triad protein
PF04272.13,Phospholamban,Phospholamban
PF04273.12,DUF442,Putative phosphatase (DUF442)
PF04275.13,P-mevalo_kinase,Phosphomevalonate kinase
PF04276.11,DUF443,Protein of unknown function (DUF443)
PF04277.12,OAD_gamma,"Oxaloacetate decarboxylase, gamma chain"
PF04278.11,Tic22,Tic22-like family
PF04279.14,IspA,Intracellular septation protein A
PF04280.14,Tim44,Tim44-like domain
PF04281.12,Tom22,Mitochondrial import receptor subunit Tom22
PF04282.12,DUF438,Family of unknown function (DUF438)
PF04283.11,CheF-arch,Chemotaxis signal transduction system protein F from archaea
PF04284.12,DUF441,Protein of unknown function (DUF441)
PF04285.11,DUF444,Protein of unknown function (DUF444)
PF04286.11,DUF445,Protein of unknown function (DUF445)
PF04287.11,DUF446,tRNA pseudouridine synthase C
PF04288.12,MukE,MukE-like family
PF04289.11,DUF447,Protein of unknown function (DUF447)
PF04290.11,DctQ,"Tripartite ATP-independent periplasmic transporters, DctQ component"
PF04293.12,SpoVR,SpoVR like protein
PF04294.12,VanW,VanW like protein
PF04295.12,GD_AH_C,"D-galactarate dehydratase / Altronate hydrolase, C terminus"
PF04296.12,DUF448,Protein of unknown function (DUF448)
PF04297.13,UPF0122,"Putative helix-turn-helix protein, YlxM / p13 like"
PF04298.11,Zn_peptidase_2,Putative neutral zinc metallopeptidase
PF04299.11,FMN_bind_2,Putative FMN-binding domain
PF04300.12,FBA,F-box associated region
PF04301.12,DUF452,Protein of unknown function (DUF452)
PF04303.12,PrpF,PrpF protein
PF04304.12,DUF454,Protein of unknown function (DUF454)
PF04305.13,DUF455,Protein of unknown function (DUF455)
PF04306.12,DUF456,Protein of unknown function (DUF456)
PF04307.13,YdjM,"LexA-binding, inner membrane-associated putative hydrolase"
PF04308.11,RNaseH_like,Ribonuclease H-like
PF04309.11,G3P_antiterm,Glycerol-3-phosphate responsive antiterminator
PF04310.11,MukB,MukB N-terminal
PF04311.12,DUF459,Protein of unknown function (DUF459)
PF04312.12,DUF460,Protein of unknown function (DUF460)
PF04313.13,HSDR_N,Type I restriction enzyme R protein N terminus (HSDR_N)
PF04314.12,PCuAC,Copper chaperone PCu(A)C
PF04315.11,EpmC,Elongation factor P hydroxylase
PF04316.12,FlgM,"Anti-sigma-28 factor, FlgM"
PF04317.11,DUF463,"YcjX-like family, DUF463"
PF04318.11,DUF468,Protein of unknown function (DUF468)
PF04319.12,NifZ,NifZ domain
PF04320.13,DUF469,Protein with unknown function (DUF469)
PF04321.16,RmlD_sub_bind,RmlD substrate binding domain
PF04322.11,DUF473,Protein of unknown function (DUF473)
PF04324.14,Fer2_BFD,BFD-like [2Fe-2S] binding domain
PF04325.12,DUF465,Protein of unknown function (DUF465)
PF04326.13,AlbA_2,Putative DNA-binding domain
PF04327.11,Peptidase_Prp,Cysteine protease Prp
PF04328.12,Sel_put,"Selenoprotein, putative"
PF04332.14,DUF475,Protein of unknown function (DUF475)
PF04333.12,MlaA,MlaA lipoprotein
PF04334.11,DUF478,Protein of unknown function (DUF478)
PF04335.12,VirB8,VirB8 protein
PF04336.11,ACP_PD,Acyl carrier protein phosphodiesterase
PF04337.11,DUF480,"Protein of unknown function, DUF480"
PF04338.11,DUF481,"Protein of unknown function, DUF481"
PF04339.11,FemAB_like,Peptidogalycan biosysnthesis/recognition
PF04340.11,DUF484,"Protein of unknown function, DUF484"
PF04341.11,DUF485,"Protein of unknown function, DUF485"
PF04342.11,DMT_6,Putative member of DMT superfamily (DUF486)
PF04343.12,DUF488,"Protein of unknown function, DUF488"
PF04344.12,CheZ,"Chemotaxis phosphatase, CheZ"
PF04345.12,Chor_lyase,Chorismate lyase
PF04346.11,EutH,"Ethanolamine utilisation protein, EutH"
PF04347.12,FliO,"Flagellar biosynthesis protein, FliO"
PF04348.12,LppC,LppC putative lipoprotein
PF04349.11,MdoG,"Periplasmic glucan biosynthesis protein, MdoG"
PF04350.12,PilO,"Pilus assembly protein, PilO"
PF04351.12,PilP,"Pilus assembly protein, PilP"
PF04352.12,ProQ,ProQ/FINO family
PF04353.12,Rsd_AlgQ,"Regulator of RNA polymerase sigma(70) subunit, Rsd/AlgQ"
PF04354.12,ZipA_C,"ZipA, C-terminal FtsZ-binding domain"
PF04355.12,SmpA_OmlA,SmpA / OmlA family
PF04356.11,DUF489,Protein of unknown function (DUF489)
PF04357.12,TamB,"TamB, inner membrane protein subunit of TAM complex"
PF04358.12,DsrC,DsrC like protein
PF04359.13,DUF493,Protein of unknown function (DUF493)
PF04360.11,Serglycin,Serglycin
PF04361.12,DUF494,Protein of unknown function (DUF494)
PF04362.13,Iron_traffic,Bacterial Fe(2+) trafficking
PF04363.11,DUF496,Protein of unknown function (DUF496)
PF04364.12,DNA_pol3_chi,"DNA polymerase III chi subunit, HolC"
PF04365.12,BrnT_toxin,"Ribonuclease toxin, BrnT, of type II toxin-antitoxin system"
PF04366.11,Ysc84,Las17-binding protein actin regulator
PF04367.12,DUF502,Protein of unknown function (DUF502)
PF04368.12,DUF507,Protein of unknown function (DUF507)
PF04369.12,Lactococcin,Lactococcin-like family
PF04370.11,DUF508,Domain of unknown function (DUF508)
PF04371.14,PAD_porph,Porphyromonas-type peptidyl-arginine deiminase
PF04375.13,HemX,"HemX, putative uroporphyrinogen-III C-methyltransferase"
PF04376.12,ATE_N,"Arginine-tRNA-protein transferase, N terminus"
PF04377.14,ATE_C,"Arginine-tRNA-protein transferase, C terminus"
PF04378.12,RsmJ,"Ribosomal RNA large subunit methyltransferase D, RlmJ"
PF04379.13,DUF525,ApaG domain
PF04380.12,BMFP,Membrane fusogenic activity
PF04381.11,RdgC,"Putative exonuclease, RdgC"
PF04382.12,SAB,SAB domain
PF04383.12,KilA-N,KilA-N domain
PF04384.12,Fe-S_assembly,Iron-sulphur cluster assembly
PF04385.14,FAINT,"Domain of unknown function, DUF529"
PF04386.12,SspB,Stringent starvation protein B
PF04387.13,PTPLA,"Protein tyrosine phosphatase-like protein, PTPLA"
PF04388.11,Hamartin,Hamartin protein
PF04389.16,Peptidase_M28,Peptidase family M28
PF04390.11,LptE,Lipopolysaccharide-assembly
PF04391.11,DUF533,Protein of unknown function (DUF533)
PF04392.11,ABC_sub_bind,ABC transporter substrate binding protein
PF04393.12,DUF535,Protein of unknown function (DUF535)
PF04394.13,DUF536,"Protein of unknown function, DUF536"
PF04395.11,Poxvirus_B22R,Poxvirus B22R protein
PF04397.14,LytTR,LytTr DNA-binding domain
PF04398.11,DUF538,"Protein of unknown function, DUF538"
PF04399.12,Glutaredoxin2_C,"Glutaredoxin 2, C terminal domain"
